subscription_id,idempotency_key,owner_student_id,plan_type,plan_name,classes_per_month,classes_remaining,amount_ils,billing_frequency,status,created_at,updated_at
250,user_subscription_details::250,1280,solo,Yearly,16,0,0.00,monthly,pending,2023-09-20 19:21:58+05:30,2025-11-27 10:32:32+05:30
251,user_subscription_details::251,1343,solo,Yearly,48,19,0.00,monthly,pending,2023-09-21 08:01:37+05:30,2024-01-11 15:58:35+05:30
252,user_subscription_details::252,1197,solo,Monthly,32,0,0.00,monthly,pending,2023-09-21 11:50:30+05:30,2023-11-06 16:16:12+05:30
253,user_subscription_details::253,1346,solo,Yearly,32,0,0.00,monthly,pending,2023-09-22 08:50:04+05:30,2023-11-18 11:05:08+05:30
254,user_subscription_details::254,1347,solo,Monthly_55,16,4,0.00,monthly,pending,2023-09-22 08:58:58+05:30,2026-01-12 09:45:21+05:30
256,user_subscription_details::256,1349,solo,Yearly,48,0,0.00,monthly,pending,2023-09-27 10:32:28+05:30,2023-11-27 11:27:37+05:30
257,user_subscription_details::257,1108,solo,Monthly,48,0,0.00,monthly,pending,2023-09-28 07:10:44+05:30,2025-02-16 07:57:44+05:30
258,user_subscription_details::258,1350,solo,Yearly,16,0,0.00,monthly,pending,2023-09-28 17:39:22+05:30,2023-11-18 11:03:01+05:30
259,user_subscription_details::259,1351,solo,Yearly,16,0,0.00,monthly,pending,2023-09-28 17:39:42+05:30,2023-11-18 11:04:17+05:30
260,user_subscription_details::260,1352,solo,Yearly,16,0,0.00,monthly,pending,2023-09-28 17:39:56+05:30,2023-11-18 11:08:16+05:30
261,user_subscription_details::261,1353,solo,Yearly,16,0,0.00,monthly,pending,2023-09-28 17:40:11+05:30,2023-11-18 11:07:59+05:30
262,user_subscription_details::262,1354,solo,Yearly,16,0,0.00,monthly,pending,2023-09-28 17:45:45+05:30,2023-12-25 13:35:50+05:30
263,user_subscription_details::263,1355,solo,Monthly,32,8,0.00,monthly,pending,2023-09-29 08:58:41+05:30,2024-05-28 00:00:05+05:30
264,user_subscription_details::264,1356,solo,Monthly,32,8,0.00,monthly,cancelled,2023-10-01 13:49:51+05:30,2025-07-24 11:43:03+05:30
265,user_subscription_details::265,1357,solo,Monthly,48,12,0.00,monthly,cancelled,2023-10-02 14:41:36+05:30,2025-07-24 11:43:06+05:30
266,user_subscription_details::266,1358,solo,Monthly_40,32,8,0.00,monthly,cancelled,2023-10-03 07:44:32+05:30,2024-08-02 07:44:07+05:30
267,user_subscription_details::267,1360,solo,Yearly,16,0,0.00,monthly,pending,2023-10-03 08:25:12+05:30,2023-11-18 10:47:36+05:30
268,user_subscription_details::268,1361,solo,Yearly,16,0,0.00,monthly,pending,2023-10-03 08:25:32+05:30,2023-11-18 10:58:10+05:30
269,user_subscription_details::269,1364,solo,Yearly,32,8,0.00,monthly,pending,2023-10-05 06:33:12+05:30,2024-03-09 11:46:29+05:30
270,user_subscription_details::270,1108,solo,Monthly,48,0,0.00,monthly,pending,2023-10-05 06:49:37+05:30,2025-02-16 07:57:44+05:30
271,user_subscription_details::271,1290,solo,Yearly,16,0,0.00,monthly,pending,2023-10-05 07:07:35+05:30,2023-10-30 09:48:30+05:30
272,user_subscription_details::272,1243,solo,Yearly,48,0,0.00,monthly,pending,2023-10-06 06:11:08+05:30,2024-03-01 12:02:44+05:30
